"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"30108";"Marz";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10605";"Marz";2046;6562;214;922;536963;42;26011;2;5191;176;109603;702;396158;3903;6888611;85;303812;13;38671;163;167600;0;0;1272;8370974;31;74698;26;70178;5;4520;0;0;0;0;289;1058565;273;957081;1;36472;0;0;1;10900;14;54112;17401223;34;"r.k. Pfarrkirche 335-107";+6310;+286652;162503;474309;259;20;98;98;0;3688;1528;0;2130;0
"30109";"Mattersburg";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10606";"Mattersburg";3723;9542;0;2049;896652;6;2646;0;0;593;267654;1450;626352;5315;12793005;14;56946;10;16633;589;748354;0;0;1148;9107806;32;83346;31;82026;1;1320;0;0;0;0;465;1248111;438;1042700;1;27041;0;0;14;109506;12;68864;24934220;34;"Pfarrkirche 369-107";+5222;+288617;162411;474412;258;16;134;134;0;2;0;0;0;0
"30110";"Neudörfl";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10607";"Neudörfl";1517;3292;259;1289;907748;37;34203;1;126;223;116789;1028;756630;1500;4089135;0;0;0;0;97;126656;0;0;174;2681701;18;204050;16;95545;2;108505;0;0;0;0;259;1000004;224;598989;0;0;26;132090;0;0;9;268925;9009294;34;"r.k. Pfarrkirche 34-76";-2506;+295130;161800;474743;274;13;121;121;0;4768;3065;0;1663;0
"30111";"Neustift an der Rosalia";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10602";"Forchtenstein";538;1336;8;970;385921;493;83478;69;12000;403;288225;5;2218;491;2001274;0;0;0;0;1;3630;0;0;319;5134365;2;2284;2;2284;0;0;0;0;0;0;167;315299;131;286129;0;0;0;0;5;4744;31;24426;7842773;34;"Rittsteig 201-106";-932;+285712;161915;474238;609;4;51;51;0;3371;1089;0;150;0
"30112";"Pöttelsdorf";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10608";"Pöttelsdorf";801;2705;173;408;290564;33;11230;0;0;125;59513;250;219821;1205;4113611;0;0;0;0;842;1273862;0;0;97;1671640;8;30006;8;30006;0;0;0;0;0;0;195;485223;177;447171;0;0;0;0;1;338;17;37714;7864906;34;"evang. Kirche 6-77";+7627;+290341;162606;474508;214;6;107;107;0;4378;924;0;1103;0
"30113";"Pöttsching";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10609";"Pöttsching";2629;8845;0;1155;637441;30;16683;0;0;232;123762;893;496996;5727;13867346;1;1093;0;0;718;955535;0;0;887;8010418;39;76123;39;76123;0;0;0;0;0;0;361;1095263;356;1071518;0;0;1;6800;0;0;4;16945;24643219;34;"Pfarrkirche 102-77";+2890;+296407;162219;474824;218;27;10;10;0;110;16;0;0;0
"30114";"Rohrbach bei Mattersburg";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10610";"Rohrbach bei Mattersburg";1973;5621;168;1230;545960;101;23658;0;0;294;109924;835;412378;2821;6373397;21;63721;13;35115;29;52109;0;0;1473;7353507;122;237792;31;67926;5;3167;86;166699;0;0;263;596284;208;369888;7;116575;35;67935;3;20741;10;21145;15222770;34;"r.k. Kirche 318-107";+7258;+285564;162548;474233;293;16;110;110;0;4267;3139;0;1125;0
"30115";"Sauerbrunn";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10611";"Bad Sauerbrunn";1045;2030;78;1265;832322;31;7941;2;281;455;375122;777;448978;596;722103;3;20995;3;20995;0;0;0;0;57;582884;9;7916;9;7916;0;0;0;0;0;0;137;184270;132;134604;1;44991;0;0;0;0;4;4675;2350490;34;"Pfarrkirche 408-76";-800;+292871;161922;474630;282;4;23;23;0;1533;1027;0;503;0
"30116";"Schattendorf";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10612";"Schattendorf";2456;6802;0;1651;485160;8;3929;1;813;201;61930;1441;418488;4544;8529575;0;0;0;0;368;287969;0;0;29;2303222;39;67438;39;67438;0;0;0;0;0;0;178;445375;173;371604;1;56057;2;10931;0;0;2;6783;12118739;34;"r.k. Kirche 315-107";+13664;+285562;163056;474233;256;12;36;36;0;444;444;363;0;0
"30117";"Sieggraben";"Burgenland";"Eisenstadt";"Mattersburg";"Eisenstadt";"Mattersburg";"10613";"Sieggraben";1012;2782;5;1373;406196;740;119420;151;9940;472;274617;10;2219;1507;5442293;0;0;0;0;0;0;0;0;700;11023156;16;29023;14;28571;2;452;0;0;0;0;183;801621;165;732641;0;0;0;0;0;0;18;68980;17702289;34;"r.k. Kirche 259-107";+3560;+279061;162251;473903;449;17;74;74;0;3841;2529;4;50;0
