"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"66173";"Sernau";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61009";"Gamlitz";125;995;0;90;44797;438;1504244;168;782620;135;558596;0;0;158;1962930;6;44712;0;0;0;0;2;43687;0;0;2;509;0;0;0;0;2;516;0;0;22;70090;0;0;4;25883;0;0;0;0;0;0;18;44207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4967989
"66174";"Spielfeld";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61039";"Spielfeld";331;1566;54;290;93850;760;2420079;324;1167790;54;163451;0;0;122;1216875;36;348484;0;0;3;245968;13;76360;5;8720;0;0;0;0;2;2164;2;1636;11;13636;87;533964;0;0;5;82438;6;45555;0;0;0;0;55;100148;1;1313;0;0;0;0;1;356;3;206489;8;63765;8;33900;5944493
"66175";"Stangersdorf";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61020";"Lang";131;761;153;70;50954;365;2105235;54;132493;0;0;0;0;246;1525441;17;150807;0;0;4;115619;0;0;3;2314;0;0;0;0;0;0;5;7360;5;25514;77;307525;1;132899;0;0;3;43679;0;0;0;0;66;110092;2;15423;0;0;0;0;1;1920;0;0;0;0;4;3512;4272455
"66176";"Steinbach";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61009";"Gamlitz";131;1459;0;143;39834;589;1774429;250;1073766;237;934147;0;0;229;2668001;10;28122;0;0;0;0;9;27343;0;0;0;0;0;0;0;0;1;779;0;0;37;83875;0;0;0;0;0;0;0;0;0;0;33;82481;0;0;0;0;0;0;0;0;0;0;4;1394;0;0;6602174
"66177";"Steingrub";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61043";"Tillmitsch";53;289;0;37;6262;151;301105;42;78265;14;24907;0;0;40;373121;1;2853;0;0;0;0;0;0;0;0;0;0;0;0;1;2853;0;0;0;0;11;32233;0;0;0;0;0;0;0;0;0;0;11;32233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;818746
"66178";"Steinriegel";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61019";"Kitzeck im Sausal";107;699;0;99;22734;340;870334;51;110259;73;252660;0;0;146;1089232;1;1367;0;0;0;0;1;1367;0;0;0;0;0;0;0;0;0;0;0;0;21;45658;0;0;0;0;0;0;0;0;0;0;18;25349;1;18523;0;0;0;0;0;0;0;0;0;0;2;1786;2392244
"66179";"Straß";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61041";"Straß in Steiermark";505;1479;100;399;145206;615;2336283;338;311841;0;0;0;0;166;899796;14;146602;0;0;2;51240;1;20492;4;19033;0;0;0;0;2;7468;3;3111;2;45258;78;261931;0;0;2;40288;2;13499;0;0;0;0;42;63218;1;14730;0;0;1;586;8;13339;0;0;4;20894;18;95377;4101659
"66180";"Sulz";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61042";"Sulztal an der Weinstraße";47;277;0;40;14556;120;425944;55;109301;60;370087;0;0;8;29200;2;3312;0;0;0;0;2;3312;0;0;0;0;0;0;0;0;0;0;0;0;15;19181;0;0;0;0;2;5863;0;0;0;0;13;13318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;971581
"66181";"Sulztal";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61042";"Sulztal an der Weinstraße";40;218;0;22;9431;73;345867;13;37353;48;296572;0;0;74;597230;2;2582;0;0;0;0;2;2582;0;0;0;0;0;0;0;0;0;0;0;0;17;20417;0;0;0;0;1;1715;0;0;0;0;16;18702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1309452
"66182";"Tillmitsch";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61043";"Tillmitsch";1101;3660;10;412;200549;2379;6360009;408;505380;0;0;0;0;430;1494829;6;119630;0;0;4;106396;1;7221;0;0;0;0;0;0;0;0;1;6013;0;0;145;414785;0;0;3;39937;3;55137;0;0;0;0;132;247598;0;0;0;0;0;0;0;0;2;62570;0;0;5;9543;9095182
"66183";"Unterfahrenbach";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61016";"Heimschuh";221;1490;0;121;28327;873;1632454;217;537172;17;49338;0;0;215;1481090;7;23643;0;0;0;0;3;8269;0;0;0;0;0;0;0;0;4;15374;0;0;44;79832;0;0;0;0;0;0;0;0;0;0;41;72461;0;0;0;0;0;0;1;6189;0;0;2;1182;0;0;3831856
"66184";"Untergralla";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61012";"Gralla";267;1386;18;159;73404;688;2342702;142;143632;0;0;0;0;387;1052728;14;124725;0;0;1;91676;2;6823;2;8301;0;0;0;0;3;3345;4;3052;2;11528;73;322536;1;110545;4;46234;0;0;0;0;0;0;55;102620;0;0;0;0;0;0;1;4355;0;0;5;30827;7;27955;4059727
"66185";"Unterjahring";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61033";"Sankt Nikolai im Sausal";86;561;0;52;24852;357;1165847;46;97591;0;0;0;0;98;765328;1;978;0;0;0;0;1;978;0;0;0;0;0;0;0;0;0;0;0;0;15;44963;0;0;0;0;0;0;0;0;0;0;15;44963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2099559
"66186";"Unterlupitscheni";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61029";"Retznei";56;462;0;37;13978;172;537672;126;403259;12;27217;0;0;99;428785;2;44227;0;0;1;40965;1;3262;0;0;0;0;0;0;0;0;0;0;0;0;21;318674;0;0;0;0;1;6312;0;0;0;0;18;25697;0;0;0;0;0;0;0;0;1;48361;0;0;1;238304;1773812
"66187";"Untervogau";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61044";"Vogau";502;2212;27;312;144086;1187;4050990;285;319759;0;0;0;0;417;802859;11;243857;0;0;3;141070;2;9273;1;15469;0;0;0;0;2;1553;2;76068;1;424;93;503849;2;124030;6;77826;0;0;2;17074;0;0;36;129677;0;0;0;0;0;0;2;15133;0;0;29;57657;16;82452;6065400
"66188";"Wagna";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61045";"Wagna";645;2433;110;357;136674;1022;2340985;355;330962;0;0;0;0;582;795768;24;211280;0;0;7;131109;10;48856;0;0;0;0;0;0;0;0;3;2066;4;29249;116;357766;0;0;1;10695;1;12527;0;0;0;0;73;114198;8;35382;0;0;0;0;2;4147;1;68418;15;19757;15;92642;4173435
"66189";"Waldschach";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61033";"Sankt Nikolai im Sausal";281;1084;0;208;30786;467;1132052;254;378893;46;53930;0;0;78;392578;21;652050;0;0;0;0;0;0;1;2863;0;0;0;0;2;26761;15;612252;3;10174;26;45957;0;0;0;0;0;0;0;0;0;0;25;45236;0;0;0;0;0;0;0;0;0;0;1;721;0;0;2686246
"66190";"Wielitsch";"Steiermark";"Leibnitz";"Leibnitz";"Leibnitz";"Leibnitz";"61003";"Berghausen";150;944;0;124;31868;468;1644305;113;296630;145;489951;0;0;93;865857;1;446;0;0;0;0;1;446;0;0;0;0;0;0;0;0;0;0;0;0;34;67236;0;0;0;0;7;21125;0;0;0;0;25;44043;0;0;0;0;0;0;0;0;0;0;2;2068;0;0;3396293
